country_code,state_code,zipcode,city,rate_perc,tax_name,Tax Class
US,CA,95326,CERES,0.08375,CA State Tax,
US,CA,95327,TUOLUMNE CO LOCAL TAX SL,0.0725,CA State Tax,
US,CA,95328,STANISLAUS CO LOCAL TAX SL,0.07875,CA State Tax,
US,CA,95329,STANISLAUS CO LOCAL TAX SL,0.07875,CA State Tax,
US,CA,95330,LATHROP,0.0875,CA State Tax,
US,CA,95333,MERCED CO LOCAL TAX SL,0.0775,CA State Tax,
US,CA,95334,LIVINGSTON,0.0775,CA State Tax,
US,CA,95335,TUOLUMNE CO LOCAL TAX SL,0.0725,CA State Tax,
US,CA,95336,STOCKTON TOURISM BUSINESS IMPROVEMENT DISTRICT,0.09,CA State Tax,
US,CA,95337,LATHROP,0.0875,CA State Tax,
US,CA,95338,MARIPOSA COUNTY DISTRICT TAX SP,0.0775,CA State Tax,
US,CA,95340,MERCED,0.0825,CA State Tax,
US,CA,95341,MERCED,0.0825,CA State Tax,
US,CA,95343,MERCED CO LOCAL TAX SL,0.0775,CA State Tax,
US,CA,95344,MERCED,0.0825,CA State Tax,
US,CA,95345,MARIPOSA COUNTY DISTRICT TAX SP,0.0775,CA State Tax,
US,CA,95346,TUOLUMNE CO LOCAL TAX SL,0.0725,CA State Tax,
US,CA,95347,TUOLUMNE CO LOCAL TAX SL,0.0725,CA State Tax,
US,CA,95348,MERCED,0.0825,CA State Tax,
US,CA,95350,MODESTO,0.07875,CA State Tax,
US,CA,95351,CERES,0.08375,CA State Tax,
US,CA,95352,MODESTO,0.07875,CA State Tax,
US,CA,95353,MODESTO,0.07875,CA State Tax,
US,CA,95354,MODESTO,0.07875,CA State Tax,
US,CA,95355,MODESTO,0.07875,CA State Tax,
US,CA,95356,MODESTO,0.07875,CA State Tax,
US,CA,95357,MODESTO,0.07875,CA State Tax,
US,CA,95358,CERES,0.08375,CA State Tax,
US,CA,95360,NEWMAN,0.07875,CA State Tax,
US,CA,95361,OAKDALE,0.08375,CA State Tax,
US,CA,95363,PATTERSON,0.07875,CA State Tax,
US,CA,95364,TUOLUMNE CO LOCAL TAX SL,0.0725,CA State Tax,
US,CA,95365,MERCED CO LOCAL TAX SL,0.0775,CA State Tax,
US,CA,95366,MANTECA,0.0825,CA State Tax,
US,CA,95367,RIVERBANK,0.07875,CA State Tax,
US,CA,95368,MODESTO,0.07875,CA State Tax,
US,CA,95369,MARIPOSA COUNTY DISTRICT TAX SP,0.0775,CA State Tax,
US,CA,95370,SONORA,0.0775,CA State Tax,
US,CA,95372,TUOLUMNE CO LOCAL TAX SL,0.0725,CA State Tax,
US,CA,95373,TUOLUMNE CO LOCAL TAX SL,0.0725,CA State Tax,
US,CA,95374,MERCED CO LOCAL TAX SL,0.0775,CA State Tax,
US,CA,95375,TUOLUMNE CO LOCAL TAX SL,0.0725,CA State Tax,
US,CA,95376,TRACY,0.0825,CA State Tax,
US,CA,95377,TRI VALLEY TOURISM MARKETING DISTRICT,0.1025,CA State Tax,
US,CA,95378,TRACY,0.0825,CA State Tax,
US,CA,95379,TUOLUMNE CO LOCAL TAX SL,0.0725,CA State Tax,
US,CA,95380,TURLOCK,0.08625,CA State Tax,
US,CA,95381,TURLOCK,0.08625,CA State Tax,
US,CA,95382,TURLOCK,0.08625,CA State Tax,
US,CA,95383,TUOLUMNE CO LOCAL TAX SL,0.0725,CA State Tax,
US,CA,95385,STANISLAUS CO LOCAL TAX SL,0.07875,CA State Tax,
US,CA,95386,WATERFORD,0.07875,CA State Tax,
US,CA,95387,STANISLAUS CO LOCAL TAX SL,0.07875,CA State Tax,
US,CA,95388,ATWATER,0.0825,CA State Tax,
US,CA,95389,MARIPOSA COUNTY DISTRICT TAX SP,0.0775,CA State Tax,
US,CA,95391,ALAMEDA CO LOCAL TAX SL,0.1025,CA State Tax,
US,CA,95397,MODESTO,0.07875,CA State Tax,
US,CA,95401,SANTA ROSA TOURISM BUSINESS IMPROVEMENT AREA,0.0925,CA State Tax,
US,CA,95402,SANTA ROSA TOURISM BUSINESS IMPROVEMENT AREA,0.0925,CA State Tax,
US,CA,95403,SANTA ROSA TOURISM BUSINESS IMPROVEMENT AREA,0.0925,CA State Tax,
US,CA,95404,SANTA ROSA TOURISM BUSINESS IMPROVEMENT AREA,0.0925,CA State Tax,
US,CA,95405,SANTA ROSA TOURISM BUSINESS IMPROVEMENT AREA,0.0925,CA State Tax,
US,CA,95406,SANTA ROSA TOURISM BUSINESS IMPROVEMENT AREA,0.0925,CA State Tax,
US,CA,95407,SANTA ROSA TOURISM BUSINESS IMPROVEMENT AREA,0.0925,CA State Tax,
US,CA,95409,SANTA ROSA TOURISM BUSINESS IMPROVEMENT AREA,0.0925,CA State Tax,
US,CA,95410,MENDOCINO COUNTY LODGING BUSINESS IMPROVEMENT DISTRICT,0.07875,CA State Tax,
US,CA,95412,SONOMA TOURISM IMPROVEMENT DISTRICT,0.085,CA State Tax,
US,CA,95415,MENDOCINO COUNTY LODGING BUSINESS IMPROVEMENT DISTRICT,0.07875,CA State Tax,
US,CA,95416,SONOMA COUNTY TOURISM BUSINESS IMPROVEMENT AREA,0.085,CA State Tax,
US,CA,95417,MENDOCINO COUNTY LODGING BUSINESS IMPROVEMENT DISTRICT,0.07875,CA State Tax,
US,CA,95418,MENDOCINO COUNTY LODGING BUSINESS IMPROVEMENT DISTRICT,0.07875,CA State Tax,
